#{"t_start": 1697836653.4682465, "env_id": null}
r,l,t
2300,5418,31669.547088
1600,5955,31716.187743
2600,5981,31743.441603
1000,4455,31786.113405
2000,6635,31840.629761
1600,5137,31887.818971
1300,6269,31917.77031
1600,5651,31964.504694
1000,5199,32007.314778
300,5263,32031.087287
1000,5004,32072.417691
1600,5877,32117.771951
1000,5428,32161.40516
1700,5627,32185.961266
2300,6539,32231.259279
2000,5483,32273.964981
3200,5346,32316.662033
2000,5170,32340.206019
2000,4694,32380.181861
2000,5158,32421.395632
3300,6057,32463.894519
2400,6468,32490.656165
2000,5532,32530.506809
2000,5168,32568.311805
2300,5052,32606.03955
1400,4353,32623.838668
1300,6124,32668.36806
2000,5474,32712.21858
1300,5216,32736.093623
1000,5136,32778.560142
2300,4796,32819.477094
1000,5268,32843.534639
2600,5662,32886.155049
2900,4686,32923.388425
1000,5429,32946.262447
1000,3985,32981.449333
900,6231,33028.178862
2000,4427,33048.237228
1900,6227,33095.534398
2600,5193,33138.105232
2300,5438,33179.436718
1700,5247,33201.632104
2000,6688,33247.471719
2700,5601,33287.345076
2300,6093,33329.72682
2600,4588,33348.63582
3300,6047,33390.884561
2100,5592,33433.216308
2000,5326,33475.929816
2000,5427,33500.677717
4000,5515,33545.939034
2700,6784,33596.91496
0,5165,33639.162361
2600,6639,33683.558703
3000,6199,33726.578507
4700,6434,33752.724625
3300,4521,33791.403664
2400,6227,33838.460526
2700,6145,33884.791957
3000,6043,33912.215942
2100,5401,33955.323743
2300,4479,33993.901338
1300,5366,34016.211162
1300,6029,34059.259237
2700,6121,34105.154619
2000,5655,34148.722365
1200,5300,34190.937353
2700,5985,34217.935867
2300,5312,34260.748825
2000,4597,34297.819774
2300,5857,34323.726603
2700,7066,34371.656858
1400,5145,34410.752069
2300,5702,34454.674432
1000,5338,34496.894669
1000,5588,34522.227114
2200,6491,34570.173978
3200,6990,34620.074764
1300,4501,34658.74542
2000,4296,34676.858676
3600,5906,34717.158537
2000,4878,34750.012247
1300,5305,34774.938603
1100,5536,34827.351043
2000,4601,34870.105656
1700,5879,34919.396983
2600,5284,34945.147967
2300,5349,34991.752011
1600,6309,35044.633173
0,4999,35069.3423
0,5271,35116.120999
1900,6275,35169.272173
2000,4848,35214.137237
1000,4624,35236.142726
1000,5446,35284.770135
1000,4932,35331.883694
2900,5302,35358.332828
2200,5649,35404.71597
2000,5896,35453.589131
1000,5093,35499.624918
1300,5218,35525.002244
1400,6140,35574.523426
2600,6479,35627.895459
2300,5887,38773.693061
1000,6396,38813.225642
2300,5887,38866.704928
